# K_RATIO=11.3 KD=0.94 KI=0.0 TAU_D=0.05 AUTO_RPM=1500.0 zeta=0.294 6083h=2000 6084h=2000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms
0.0001,0.0200,run,-8.0000,8.0000,-0.0000,-0.0000,0.0000,0.0000,0.1029,1.6000,1.4752,1.5191,1.0000,0,0,1,1,,5943,5943,20.0000
0.0197,0.0196,run,-8.0000,8.0000,-0.0000,-0.0000,0.0000,0.0000,0.3853,4.7013,4.2809,4.3512,1.0000,0,0,1,1,,5943,5943,19.5858
0.0398,0.0201,run,-8.0000,8.0000,-0.0001,-0.0000,0.0000,0.0001,0.9424,9.4934,8.4477,8.6543,1.0000,0,0,1,1,,5943,5943,20.0793
0.0599,0.0201,run,-8.0000,8.0000,-0.0003,-0.0000,0.0000,0.0003,1.8335,15.9025,13.8604,14.2775,1.0000,0,0,1,1,,5943,5943,20.0899
0.0800,0.0201,run,-8.0000,8.0000,-0.0005,-0.0000,0.0000,0.0005,3.1170,23.9395,20.4732,21.1718,1.0000,0,0,1,1,,5943,5943,20.1180
0.1002,0.0201,run,-8.0000,8.0000,-0.0007,-0.0000,0.0000,0.0007,4.8420,33.6055,28.2375,29.2893,1.0000,0,0,1,1,,5943,5943,20.1359
0.1202,0.0201,run,-8.0000,8.0000,-0.0010,-0.0000,0.0000,0.0010,7.0390,44.8453,37.0681,38.5446,1.0000,0,0,1,1,,5943,5943,20.0612
0.1403,0.0201,run,-8.0000,8.0000,-0.0013,-0.0000,0.0000,0.0013,9.7524,57.7083,46.9707,48.9410,1.0000,0,0,1,1,,5943,5943,20.0796
0.1604,0.0201,run,-8.0000,8.0000,-0.0016,-0.0000,0.0000,0.0016,13.0149,72.2016,57.9190,60.4544,1.0000,0,0,1,1,,5943,5943,20.1016
0.1804,0.0201,run,-8.0000,8.0000,-0.0021,-0.0000,0.0000,0.0021,16.8380,88.2658,69.8417,73.0139,1.0000,0,0,1,1,,5943,5943,20.0501
0.2006,0.0201,run,-8.0000,8.0000,-0.0025,-0.0000,0.0000,0.0025,21.2622,105.9758,82.7747,86.6526,1.0000,0,0,1,1,,5943,5943,20.0893
0.2267,0.0262,run,-8.0000,8.0000,-0.0030,-0.0000,0.0000,0.0030,26.0497,131.7885,103.4108,108.0668,1.0000,78,84,1,1,,823,1847,26.1725
0.2468,0.0201,run,-8.0000,8.0000,-0.0037,-0.0000,0.0000,0.0037,29.1970,151.8744,119.7824,125.5725,1.0000,78,84,1,1,,823,1847,20.0859
0.2669,0.0201,run,-8.0000,8.0000,-0.0043,-0.0000,0.0000,0.0043,31.8930,171.9600,136.7308,143.4033,1.0000,78,84,1,1,,823,1847,20.0856
0.2869,0.0201,run,-8.0000,8.0000,-0.0049,-0.0000,0.0000,0.0049,34.2016,192.0376,154.0585,161.6135,1.0000,78,84,1,1,,823,1847,20.0776
0.3070,0.0201,run,-8.0000,8.0000,-0.0055,-0.0000,0.0000,0.0055,36.1800,212.1229,171.7244,180.1614,1.0000,78,84,1,1,,823,1847,20.0853
0.3272,0.0201,run,-8.0000,8.0000,-0.0060,-0.0000,0.0000,0.0060,37.8772,232.2415,189.7046,199.0241,1.0000,78,84,1,1,,823,1847,20.1186
0.3472,0.0201,run,-8.0000,8.0000,-0.0066,-0.0000,0.0000,0.0066,39.3276,252.3110,207.8818,218.0851,1.0000,78,84,1,1,,823,1847,20.0695
0.3673,0.0201,run,-8.0000,8.0000,-0.0072,-0.0000,0.0000,0.0072,40.5713,272.4015,226.2876,237.3728,1.0000,78,84,1,1,,823,1847,20.0905
0.3874,0.0201,run,-8.0000,8.0000,-0.0077,-0.0000,0.0000,0.0077,41.6361,292.4798,244.8598,256.8276,1.0000,78,84,1,1,,823,1847,20.0782
0.4075,0.0201,run,-8.0000,8.0000,-0.0083,-0.0000,0.0000,0.0083,42.5487,312.5690,263.5953,276.4453,1.0000,78,84,1,1,,823,1847,20.0892
0.4345,0.0270,run,-8.0000,8.0000,-0.0089,-0.0000,0.0000,0.0089,43.5489,339.5354,289.1202,302.8527,1.0000,253,274,1,1,,823,1847,26.9664
