# profile=agv-01 K_RATIO=11.3 KD=0.94 KI=0.0 TAU_D=0.05 AUTO_RPM=2000.0 zeta=0.294 6083h=2000 6084h=3000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms
0.0002,0.0200,run,7.0000,-7.0000,0.0000,0.0000,0.0000,-0.0000,0.1029,1.6000,1.5164,1.4779,1.0000,0,0,1,1,,5943,5943,20.0000
0.0195,0.0193,run,7.0000,-7.0000,0.0000,0.0000,0.0000,-0.0000,0.3773,4.6321,4.2855,4.2240,1.0000,0,0,1,1,,5943,5943,19.2921
0.0395,0.0201,run,7.0000,-7.0000,0.0001,0.0000,0.0000,-0.0001,0.9299,9.4028,8.5620,8.3839,1.0000,0,0,1,1,,5943,5943,20.0862
0.0597,0.0201,run,7.0000,-7.0000,0.0002,0.0000,0.0000,-0.0002,1.8163,15.7938,14.1583,13.7969,1.0000,0,0,1,1,,5943,5943,20.1024
0.0798,0.0201,run,7.0000,-7.0000,0.0004,0.0000,0.0000,-0.0004,3.0953,23.8174,21.0257,20.4185,1.0000,0,0,1,1,,5943,5943,20.1361
0.0999,0.0201,run,7.0000,-7.0000,0.0006,0.0000,0.0000,-0.0006,4.8086,33.4338,29.0830,28.1674,1.0000,0,0,1,1,,5943,5943,20.0842
0.1200,0.0201,run,7.0000,-7.0000,0.0008,0.0000,0.0000,-0.0008,6.9998,44.6592,38.3020,37.0167,1.0000,0,0,1,1,,5943,5943,20.0771
0.1400,0.0201,run,7.0000,-7.0000,0.0011,0.0000,0.0000,-0.0011,9.7052,57.4979,48.6511,46.9342,1.0000,0,0,1,1,,5943,5943,20.0784
0.1601,0.0201,run,7.0000,-7.0000,0.0014,0.0000,0.0000,-0.0014,12.9572,71.9589,60.1068,57.8964,1.0000,0,0,1,1,,5943,5943,20.0906
0.1802,0.0201,run,7.0000,-7.0000,0.0018,0.0000,0.0000,-0.0018,16.7776,88.0235,72.6290,69.8627,1.0000,0,0,1,1,,5943,5943,20.0782
0.2058,0.0256,run,7.0000,-7.0000,0.0022,0.0000,0.0000,-0.0022,21.2139,111.1383,91.6164,88.2325,1.0000,68,69,1,1,,823,1847,25.6108
0.2259,0.0201,run,7.0000,-7.0000,0.0028,0.0000,0.0000,-0.0028,24.1959,130.8942,108.8345,104.5621,1.0000,68,69,1,1,,823,1847,20.0988
0.2460,0.0201,run,7.0000,-7.0000,0.0033,0.0000,0.0000,-0.0033,26.7473,150.9676,126.7362,121.7043,1.0000,68,69,1,1,,823,1847,20.0734
0.2660,0.0201,run,7.0000,-7.0000,0.0038,0.0000,0.0000,-0.0038,28.9340,171.0509,145.0187,139.2151,1.0000,68,69,1,1,,823,1847,20.0834
0.2861,0.0201,run,7.0000,-7.0000,0.0043,0.0000,0.0000,-0.0043,30.8072,191.1329,163.6135,157.0379,1.0000,68,69,1,1,,823,1847,20.0819
0.3062,0.0201,run,7.0000,-7.0000,0.0047,0.0000,0.0000,-0.0047,32.4124,211.2242,182.4856,175.1380,1.0000,68,69,1,1,,823,1847,20.0913
0.3263,0.0201,run,7.0000,-7.0000,0.0052,0.0000,0.0000,-0.0052,33.7865,231.3009,201.5743,193.4543,1.0000,68,69,1,1,,823,1847,20.0767
0.3465,0.0202,run,7.0000,-7.0000,0.0057,0.0000,0.0000,-0.0057,34.9684,251.4708,220.9483,212.0565,1.0000,68,69,1,1,,823,1847,20.1699
0.3665,0.0201,run,7.0000,-7.0000,0.0062,0.0000,0.0000,-0.0062,35.9759,271.5396,240.3973,230.7301,1.0000,68,69,1,1,,823,1847,20.0688
0.3866,0.0201,run,7.0000,-7.0000,0.0067,0.0000,0.0000,-0.0067,36.8395,291.6201,260.0000,249.5613,1.0000,68,69,1,1,,823,1847,20.0805
0.4134,0.0267,run,7.0000,-7.0000,0.0072,0.0000,0.0000,-0.0072,37.7779,318.2939,286.1213,274.9106,1.0000,248,247,1,1,,823,1847,26.6738
0.4334,0.0201,run,7.0000,-7.0000,0.0079,0.0000,0.0000,-0.0079,38.3837,338.3934,306.1277,293.8917,1.0000,248,247,1,1,,823,1847,20.0995
0.4536,0.0201,run,7.0000,-7.0000,0.0084,0.0000,0.0000,-0.0084,38.9033,358.5287,326.1298,313.1210,1.0000,248,247,1,1,,823,1847,20.1353
0.4736,0.0200,run,7.0000,-7.0000,0.0089,0.0000,0.0000,-0.0089,39.3465,378.5736,346.1184,332.3357,1.0000,248,247,1,1,,823,1847,20.0449
0.4936,0.0201,run,7.0000,-7.0000,0.0094,0.0000,0.0000,-0.0094,39.7266,398.6357,366.1858,351.6324,1.0000,248,247,1,1,,823,1847,20.0621
0.5137,0.0201,run,7.0000,-7.0000,0.0099,0.0000,0.0000,-0.0099,40.0525,418.7152,386.3250,371.0004,1.0000,248,247,1,1,,823,1847,20.0795
0.5338,0.0201,run,7.0000,-7.0000,0.0104,0.0000,0.0000,-0.0104,40.3315,438.7857,406.5024,390.4059,1.0000,248,247,1,1,,823,1847,20.0705
0.5539,0.0201,run,6.0000,-6.0000,0.0093,0.0000,-0.0134,0.0041,42.7815,458.9092,412.9883,419.2672,1.0000,248,247,1,1,,823,1847,20.1235
0.5740,0.0201,run,6.0000,-6.0000,0.0098,0.0000,-0.0096,-0.0002,43.9973,478.9980,435.1647,434.8368,1.0000,248,247,1,1,,823,1847,20.0888
0.5941,0.0201,run,6.0000,-6.0000,0.0102,0.0000,-0.0068,-0.0034,44.4115,499.0897,457.2934,452.0630,1.0000,248,247,1,1,,823,1847,20.0917
0.6198,0.0257,run,6.0000,-6.0000,0.0106,0.0000,-0.0045,-0.0061,44.1951,524.8272,485.3713,475.8928,1.0000,443,452,1,1,,823,1847,25.7375
0.6400,0.0201,run,6.0000,-6.0000,0.0112,0.0000,-0.0032,-0.0080,43.7548,544.9270,507.3343,495.0101,1.0000,443,452,1,1,,823,1847,20.0998
0.6601,0.0201,run,6.0000,-6.0000,0.0116,0.0000,-0.0023,-0.0093,43.1661,565.0469,529.0870,514.6745,1.0000,443,452,1,1,,823,1847,20.1199
0.6801,0.0201,run,6.0000,-6.0000,0.0120,0.0000,-0.0016,-0.0104,42.5125,585.1325,550.6654,534.5746,1.0000,443,452,1,1,,823,1847,20.0856
0.7003,0.0201,run,6.0000,-6.0000,0.0125,0.0000,-0.0012,-0.0113,41.8452,605.2272,572.1207,554.6433,1.0000,443,452,1,1,,823,1847,20.0947
0.7203,0.0201,run,5.0000,-5.0000,0.0107,0.0000,-0.0142,0.0035,43.4055,625.3019,579.1867,584.6061,1.0000,443,452,1,1,,823,1847,20.0748
0.7404,0.0201,run,5.0000,-5.0000,0.0111,0.0000,-0.0102,-0.0009,43.8088,645.3872,602.3023,600.8546,1.0000,443,452,1,1,,823,1847,20.0853
0.7605,0.0201,run,5.0000,-5.0000,0.0115,0.0000,-0.0073,-0.0042,43.4877,665.4760,625.2411,618.7355,1.0000,443,452,1,1,,823,1847,20.0888
0.7806,0.0201,run,5.0000,-5.0000,0.0118,0.0000,-0.0052,-0.0066,42.7372,685.5637,647.9624,637.6906,1.0000,443,452,1,1,,823,1847,20.0877
0.8007,0.0202,run,5.0000,-5.0000,0.0122,0.0000,-0.0037,-0.0085,41.7514,705.7187,670.5284,657.4062,1.0000,443,452,1,1,,823,1847,20.1550
0.8261,0.0254,run,5.0000,-5.0000,0.0125,0.0000,-0.0024,-0.0101,40.3825,731.0726,698.4873,682.8930,1.0000,650,657,1,1,,823,1847,25.3539
0.8462,0.0201,run,5.0000,-5.0000,0.0130,0.0000,-0.0017,-0.0112,39.2927,751.1655,720.5605,703.1852,1.0000,650,657,1,1,,823,1847,20.0929
0.8662,0.0201,run,4.0000,-4.0000,0.0107,0.0000,-0.0147,0.0040,40.4535,771.2372,727.6949,733.8725,1.0000,650,657,1,1,,823,1847,20.0717
0.8864,0.0201,run,4.0000,-4.0000,0.0110,0.0000,-0.0105,-0.0005,40.4859,791.3665,751.2671,750.4943,1.0000,650,657,1,1,,823,1847,20.1294
0.9064,0.0201,run,4.0000,-4.0000,0.0112,0.0000,-0.0075,-0.0038,39.8280,811.4558,774.5526,768.7031,1.0000,650,657,1,1,,823,1847,20.0893
0.9266,0.0201,run,4.0000,-4.0000,0.0115,0.0000,-0.0053,-0.0062,38.7755,831.5436,797.5664,787.9698,1.0000,650,657,1,1,,823,1847,20.0878
0.9466,0.0201,run,4.0000,-4.0000,0.0118,0.0000,-0.0038,-0.0080,37.5254,851.6266,820.2992,807.9032,1.0000,650,657,1,1,,823,1847,20.0830
0.9667,0.0201,run,3.0000,-3.0000,0.0091,0.0000,-0.0161,0.0071,38.4140,871.7072,827.8394,838.7470,1.0000,650,657,1,1,,823,1847,20.0806
0.9869,0.0201,run,3.0000,-3.0000,0.0093,0.0000,-0.0115,0.0022,38.1152,891.8555,852.0334,855.4472,1.0000,650,657,1,1,,823,1847,20.1483
1.0069,0.0201,run,3.0000,-3.0000,0.0095,0.0000,-0.0082,-0.0013,37.1072,911.9332,875.8314,873.8205,1.0000,650,657,1,1,,823,1847,20.0776
1.0377,0.0308,run,3.0000,-3.0000,0.0097,0.0000,-0.0051,-0.0046,34.8614,942.6916,911.4163,904.2441,1.0000,865,869,1,1,,823,1847,30.7585
1.0578,0.0201,run,2.0000,-2.0000,0.0067,0.0000,-0.0170,0.0103,35.4801,962.7996,919.3255,935.3134,1.0000,865,869,1,1,,823,1847,20.1079
1.0779,0.0201,run,2.0000,-2.0000,0.0068,0.0000,-0.0121,0.0053,34.8926,982.8902,943.8894,952.1057,1.0000,865,869,1,1,,823,1847,20.0906
1.0980,0.0201,run,2.0000,-2.0000,0.0070,0.0000,-0.0087,0.0017,33.5940,1002.9644,968.0642,970.6767,1.0000,865,869,1,1,,823,1847,20.0742
1.1181,0.0201,run,2.0000,-2.0000,0.0071,0.0000,-0.0062,-0.0009,31.9123,1023.0522,991.8653,990.4144,1.0000,865,869,1,1,,823,1847,20.0878
