# profile=agv-01 K_RATIO=11.3 KD=0.94 KI=0.0 TAU_D=0.05 AUTO_RPM=1600.0 zeta=0.294 6083h=2000 6084h=3000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch
0.0021,0.0200,run,-53.0000,53.0000,-0.0002,0.0000,0.0000,0.0002,0.0909,1.6000,1.3636,1.6547,1.0000,0,0,1,1,,5943,5943,20.0000,straight
0.0201,0.0180,run,-53.0000,53.0000,-0.0003,0.0000,0.0000,0.0003,0.3042,4.3398,3.8027,4.2685,1.0000,0,0,1,1,,5943,5943,18.0169,straight
0.0401,0.0201,run,-53.0000,53.0000,-0.0008,0.0000,0.0000,0.0008,0.7738,9.0067,7.6013,8.8645,1.0000,0,0,1,1,,5943,5943,20.0819,straight
0.0602,0.0201,run,-52.0000,52.0000,-0.0017,0.0000,0.0134,-0.0117,1.5773,15.2947,22.8031,4.6316,1.0000,0,0,1,1,,5943,5943,20.1019,straight
0.0803,0.0201,run,-53.0000,53.0000,-0.0029,0.0000,-0.0038,0.0067,2.6961,23.1762,15.2781,25.6822,1.0000,0,0,1,1,,5943,5943,20.0538,straight
0.1003,0.0201,run,-52.0000,52.0000,-0.0043,0.0000,0.0107,-0.0064,4.2366,32.6825,33.3879,23.5038,1.0000,0,0,1,1,,5943,5943,20.0829,straight
0.1205,0.0202,run,-53.0000,53.0000,-0.0061,0.0000,-0.0058,0.0119,6.2076,43.8526,28.4059,46.8840,1.0000,0,0,1,1,,5943,5943,20.1627,straight
0.1407,0.0202,run,-52.0000,52.0000,-0.0081,0.0000,0.0093,-0.0012,8.6446,56.6546,48.9160,47.1041,1.0000,0,0,1,1,,5943,5943,20.1707,straight
0.1607,0.0200,run,-53.0000,53.0000,-0.0107,0.0000,-0.0068,0.0175,11.5791,70.9619,45.8717,72.8939,1.0000,0,0,1,1,,5943,5943,20.0171,straight
0.1825,0.0218,run,-53.0000,53.0000,-0.0134,0.0000,-0.0047,0.0181,15.3391,88.4741,59.1424,87.1278,1.0000,0,0,1,1,,5943,5943,21.8334,straight
0.2151,0.0325,run,-53.0000,53.0000,-0.0166,0.0000,-0.0029,0.0195,22.2726,118.7519,81.3816,111.5770,1.0000,57,84,1,1,,1847,1847,32.4858,straight
0.2350,0.0200,run,-53.0000,53.0000,-0.0223,0.0000,-0.0021,0.0244,27.0507,138.7508,92.8307,130.5694,1.0000,57,84,1,1,,1847,1847,19.9989,straight
0.2550,0.0200,run,-53.0000,53.0000,-0.0261,0.0000,-0.0015,0.0276,32.2804,158.7971,105.1911,147.8424,1.0000,57,84,1,1,,1847,1847,20.0463,straight
0.2752,0.0202,run,-53.0000,53.0000,-0.0299,0.0000,-0.0010,0.0309,37.9212,178.9520,117.1132,164.9484,1.0000,57,84,1,1,,1847,1847,20.1549,straight
0.2956,0.0204,run,-53.0000,53.0000,-0.0337,0.0000,-0.0007,0.0344,43.9668,199.3483,128.7646,181.9983,1.0000,57,84,1,1,,1847,1847,20.3963,straight
0.3156,0.0200,run,-53.0000,53.0000,-0.0375,0.0000,-0.0005,0.0380,50.1684,219.3284,139.7386,198.5814,1.0000,57,84,1,1,,1847,1847,19.9801,straight
0.3357,0.0201,run,-53.0000,53.0000,-0.0413,0.0000,-0.0004,0.0416,56.6561,239.4437,150.5759,214.9992,1.0000,57,84,1,1,,1847,1847,20.1153,straight
0.3559,0.0201,run,-53.0000,53.0000,-0.0451,0.0000,-0.0003,0.0453,63.3547,259.5597,161.1498,231.2603,1.0000,57,84,1,1,,1847,1847,20.1161,straight
0.3761,0.0201,run,-53.0000,53.0000,-0.0488,0.0000,-0.0002,0.0490,70.2198,279.6325,171.4896,247.3358,1.0000,57,84,1,1,,1847,1847,20.0728,straight
0.3959,0.0201,run,-53.0000,53.0000,-0.0526,0.0000,-0.0001,0.0528,77.2398,299.7022,181.6606,263.2641,1.0000,57,84,1,1,,1847,1847,20.0697,straight
0.4278,0.0318,run,-53.0000,53.0000,-0.0564,0.0000,-0.0001,0.0565,88.6902,331.5430,199.1715,286.5341,1.0000,178,261,1,1,,1847,1847,31.8408,straight
0.4479,0.0201,run,-53.0000,53.0000,-0.0624,0.0000,-0.0001,0.0624,96.0143,351.6120,207.3011,303.8943,1.0000,178,261,1,1,,1847,1847,20.0690,straight
0.4679,0.0200,run,-53.0000,53.0000,-0.0662,0.0000,-0.0000,0.0662,103.4105,371.6275,217.0129,319.4211,1.0000,178,261,1,1,,1847,1847,20.0155,straight
0.4880,0.0201,run,-53.0000,53.0000,-0.0699,0.0000,-0.0000,0.0700,110.9311,391.7636,226.7250,334.9400,1.0000,178,261,1,1,,1847,1847,20.1360,straight
0.5082,0.0202,run,-53.0000,53.0000,-0.0737,0.0000,-0.0000,0.0737,118.5414,411.9552,236.3825,350.4449,1.0000,178,261,1,1,,1847,1847,20.1916,straight
0.5283,0.0200,run,-53.0000,53.0000,-0.0775,0.0000,-0.0000,0.0775,126.1563,432.0039,245.8826,365.8124,1.0000,178,261,1,1,,1847,1847,20.0487,straight
0.5485,0.0202,run,-53.0000,53.0000,-0.0813,0.0000,-0.0000,0.0813,133.8896,452.2296,255.4608,381.2192,1.0000,178,261,1,1,,1847,1847,20.2257,straight
0.5686,0.0201,run,-53.0000,53.0000,-0.0851,0.0000,-0.0000,0.0851,141.6089,472.3058,264.8766,396.5171,1.0000,178,261,1,1,,1847,1847,20.0762,straight
0.5886,0.0200,run,-53.0000,53.0000,-0.0889,0.0000,-0.0000,0.0889,149.3513,492.3457,274.2542,411.7347,1.0000,178,261,1,1,,1847,1847,20.0399,straight
0.6087,0.0201,run,-53.0000,53.0000,-0.0926,0.0000,-0.0000,0.0926,157.1514,512.4523,283.6454,426.9564,1.0000,178,261,1,1,,1847,1847,20.1066,straight
0.6422,0.0335,run,-53.0000,53.0000,-0.0964,0.0000,-0.0000,0.0964,170.2025,545.9157,301.1328,450.2936,1.0000,282,425,1,1,,1847,1847,33.4634,straight
0.6624,0.0201,run,-53.0000,53.0000,-0.1027,0.0000,-0.0000,0.1027,178.0811,566.0611,308.5301,467.4299,1.0000,282,425,1,1,,1847,1847,20.1454,straight
0.6823,0.0200,run,-53.0000,53.0000,-0.1065,0.0000,-0.0000,0.1065,185.9160,586.0482,317.7509,482.5136,1.0000,282,425,1,1,,1847,1847,19.9871,straight
0.7025,0.0202,run,-53.0000,53.0000,-0.1103,0.0000,-0.0000,0.1103,193.8438,606.2319,327.0982,497.6779,1.0000,282,425,1,1,,1847,1847,20.1836,straight
0.7225,0.0200,run,-53.0000,53.0000,-0.1141,0.0000,-0.0000,0.1141,201.7279,626.2698,336.3148,512.7689,1.0000,282,425,1,1,,1847,1847,20.0379,straight
0.7426,0.0201,run,-53.0000,53.0000,-0.1178,0.0000,-0.0000,0.1178,209.6430,646.3570,345.5709,527.8570,1.0000,282,425,1,1,,1847,1847,20.0872,straight
0.7627,0.0201,run,-53.0000,53.0000,-0.1216,0.0000,-0.0000,0.1216,217.5811,666.4773,354.8298,542.9624,1.0000,282,425,1,1,,1847,1847,20.1203,straight
0.7828,0.0201,run,-53.0000,53.0000,-0.1254,0.0000,-0.0000,0.1254,225.5063,686.5430,364.0423,558.0312,1.0000,282,425,1,1,,1847,1847,20.0658,straight
0.8029,0.0201,run,-53.0000,53.0000,-0.1292,0.0000,-0.0000,0.1292,233.4401,706.6124,373.2577,573.0869,1.0000,282,425,1,1,,1847,1847,20.0694,straight
0.8228,0.0200,run,-53.0000,53.0000,-0.1329,0.0000,-0.0000,0.1329,241.3709,726.6581,382.4520,588.1226,1.0000,282,425,1,1,,1847,1847,20.0457,straight
0.8544,0.0315,run,-53.0000,53.0000,-0.1367,0.0000,-0.0000,0.1367,253.8456,758.1585,398.5603,610.0654,1.0000,380,582,1,1,,1847,1847,31.5004,straight
0.8744,0.0200,run,-53.0000,53.0000,-0.1426,0.0000,-0.0000,0.1426,261.7771,778.1757,406.0617,626.7355,1.0000,380,582,1,1,,1847,1847,20.0173,straight
0.8947,0.0202,run,-52.0000,52.0000,-0.1437,0.0000,0.0134,0.1303,271.9895,798.3650,425.6212,627.1299,1.0000,380,582,1,1,,1847,1847,20.1893,straight
0.9146,0.0200,run,-52.0000,52.0000,-0.1474,0.0000,0.0096,0.1378,280.9738,818.4004,430.8261,644.0271,1.0000,380,582,1,1,,1847,1847,20.0353,straight
0.9349,0.0202,run,-52.0000,52.0000,-0.1511,0.0000,0.0068,0.1443,289.2558,838.6043,437.7588,660.9381,1.0000,380,582,1,1,,1847,1847,20.2039,straight
0.9550,0.0201,run,-52.0000,52.0000,-0.1548,0.0000,0.0049,0.1499,296.9887,858.6815,445.7093,677.6764,1.0000,380,582,1,1,,1847,1847,20.0773,straight
0.9750,0.0200,run,-52.0000,52.0000,-0.1585,0.0000,0.0035,0.1550,304.4007,878.7227,454.3964,694.2477,1.0000,380,582,1,1,,1847,1847,20.0412,straight
0.9951,0.0201,run,-52.0000,52.0000,-0.1622,0.0000,0.0025,0.1597,311.6493,898.8022,463.5969,710.7087,1.0000,380,582,1,1,,1847,1847,20.0794,straight
1.0152,0.0201,run,-52.0000,52.0000,-0.1659,0.0000,0.0018,0.1642,318.8163,918.9009,473.1128,727.0564,1.0000,380,582,1,1,,1847,1847,20.0987,straight
1.0354,0.0202,run,-52.0000,52.0000,-0.1696,0.0000,0.0013,0.1684,325.9990,939.1269,482.8930,743.3627,1.0000,380,582,1,1,,1847,1847,20.2260,straight
1.0684,0.0330,run,-51.0000,51.0000,-0.1700,0.0000,0.0121,0.1579,340.9346,972.1150,509.0111,753.3496,1.0000,483,744,1,1,,1847,1847,32.9881,straight
1.0885,0.0201,run,-51.0000,51.0000,-0.1760,0.0000,0.0086,0.1674,348.9095,992.1912,513.8150,772.7484,1.0000,483,744,1,1,,1847,1847,20.0762,straight
1.1087,0.0202,run,-51.0000,51.0000,-0.1796,0.0000,0.0061,0.1735,356.2022,1012.3422,521.9461,790.3339,1.0000,483,744,1,1,,1847,1847,20.1509,straight
1.1288,0.0201,run,-50.0000,50.0000,-0.1797,0.0000,0.0178,0.1619,365.9073,1032.4567,541.3196,791.7792,1.0000,483,744,1,1,,1847,1847,20.1145,straight
1.1488,0.0201,run,-50.0000,50.0000,-0.1833,0.0000,0.0127,0.1706,373.8582,1052.5475,546.7538,810.6248,1.0000,483,744,1,1,,1847,1847,20.0908,straight
1.1690,0.0201,run,-50.0000,50.0000,-0.1868,0.0000,0.0090,0.1778,380.7231,1072.6935,554.4574,829.4833,1.0000,483,744,1,1,,1847,1847,20.1461,straight
1.1901,0.0211,stopping,-50.0000,50.0000,-0.0002,0.0000,0.0064,-0.0062,0.0000,0.0000,0.0000,0.0000,1.0000,483,744,1,1,,1847,1847,21.0852,straight
1.2092,0.0191,stopping,-49.0000,49.0000,-0.0002,0.0000,0.0182,-0.0180,0.0000,0.0000,0.0000,0.0000,1.0000,483,744,1,1,,1847,1847,19.0698,straight
1.2296,0.0204,stopping,-49.0000,49.0000,-0.0002,0.0000,0.0129,-0.0128,0.0000,0.0000,0.0000,0.0000,1.0000,483,744,1,1,,1847,1847,20.4068,straight
1.2506,0.0211,stopping,-49.0000,49.0000,-0.0002,0.0000,0.0091,-0.0089,0.0000,0.0000,0.0000,0.0000,1.0000,483,744,1,1,,1847,1847,21.0554,straight
1.2730,0.0224,stopping,-49.0000,49.0000,-0.0002,0.0000,0.0063,-0.0061,0.0000,0.0000,0.0000,0.0000,1.0000,392,653,1,1,,823,823,22.4164,straight
1.2931,0.0201,stopping,-49.0000,49.0000,-0.0002,0.0000,0.0045,-0.0043,0.0000,0.0000,0.0000,0.0000,1.0000,392,653,1,1,,823,823,20.0631,straight
1.3131,0.0200,stopping,-48.0000,48.0000,-0.0002,0.0000,0.0166,-0.0165,0.0000,0.0000,0.0000,0.0000,1.0000,392,653,1,1,,823,823,20.0223,straight
1.3334,0.0203,stopping,-48.0000,48.0000,-0.0002,0.0000,0.0118,-0.0117,0.0000,0.0000,0.0000,0.0000,1.0000,392,653,1,1,,823,823,20.2763,straight
1.3534,0.0200,stopping,-48.0000,48.0000,-0.0002,0.0000,0.0084,-0.0083,0.0000,0.0000,0.0000,0.0000,1.0000,392,653,1,1,,823,823,20.0238,straight
1.3735,0.0201,stopping,-48.0000,48.0000,-0.0002,0.0000,0.0060,-0.0059,0.0000,0.0000,0.0000,0.0000,1.0000,392,653,1,1,,823,823,20.0900,straight
1.3936,0.0201,stopping,-48.0000,48.0000,-0.0002,0.0000,0.0043,-0.0041,0.0000,0.0000,0.0000,0.0000,1.0000,392,653,1,1,,823,823,20.0937,straight
1.4136,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0165,-0.0163,0.0000,0.0000,0.0000,0.0000,1.0000,392,653,1,1,,823,823,20.0393,straight
1.4338,0.0202,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0118,-0.0116,0.0000,0.0000,0.0000,0.0000,1.0000,392,653,1,1,,823,823,20.1663,straight
1.4537,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0084,-0.0082,0.0000,0.0000,0.0000,0.0000,1.0000,392,653,1,1,,823,823,20.0202,straight
1.4757,0.0219,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0058,-0.0057,0.0000,0.0000,0.0000,0.0000,1.0000,0,42,1,1,,5943,823,21.9188,straight
1.4957,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0042,-0.0040,0.0000,0.0000,0.0000,0.0000,1.0000,0,42,1,1,,5943,823,20.0245,straight
1.5160,0.0203,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0030,-0.0028,0.0000,0.0000,0.0000,0.0000,1.0000,0,42,1,1,,5943,823,20.2719,straight
1.5360,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0021,-0.0019,0.0000,0.0000,0.0000,0.0000,1.0000,0,42,1,1,,5943,823,20.0045,straight
1.5561,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0015,-0.0013,0.0000,0.0000,0.0000,0.0000,1.0000,0,42,1,1,,5943,823,20.0934,straight
1.5762,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0011,-0.0009,0.0000,0.0000,0.0000,0.0000,1.0000,0,42,1,1,,5943,823,20.0911,straight
1.5963,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0008,-0.0006,0.0000,0.0000,0.0000,0.0000,1.0000,0,42,1,1,,5943,823,20.0799,straight
1.6164,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0005,-0.0004,0.0000,0.0000,0.0000,0.0000,1.0000,0,42,1,1,,5943,823,20.0984,straight
1.6365,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0004,-0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,42,1,1,,5943,823,20.1278,straight
1.6571,0.0206,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0003,-0.0001,0.0000,0.0000,0.0000,0.0000,1.0000,0,42,1,1,,5943,823,20.5930,straight
1.6787,0.0216,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0002,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,21.6024,straight
1.6985,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,19.9519,straight
1.7190,0.0203,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.2908,straight
1.7391,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0877,straight
1.7592,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0882,straight
1.7795,0.0202,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1811,straight
1.7992,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0047,straight
1.8194,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0916,straight
1.8395,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1326,straight
1.8599,0.0204,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.4285,straight
1.8825,0.0225,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,22.5248,straight
1.9025,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0406,straight
1.9228,0.0202,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.2435,straight
1.9428,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0053,straight
1.9629,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0920,straight
1.9832,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1112,straight
2.0030,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0530,straight
2.0232,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1195,straight
2.0433,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1488,straight
2.0633,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0458,straight
2.0884,0.0251,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,25.0854,straight
2.1085,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0484,straight
2.1285,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0836,straight
2.1487,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1301,straight
2.1689,0.0202,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.2227,straight
2.1890,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0389,straight
2.2091,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1064,straight
2.2291,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0532,straight
2.2492,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0881,straight
2.2692,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0075,straight
2.2918,0.0225,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,22.5365,straight
2.3116,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,19.9528,straight
2.3321,0.0202,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.2149,straight
2.3520,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0635,straight
2.3721,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0947,straight
2.3921,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0833,straight
2.4121,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0379,straight
2.4325,0.0203,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.2884,straight
2.4524,0.0199,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,19.9153,straight
2.4725,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1012,straight
2.4959,0.0234,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,,5943,5943,23.4465,straight
2.5162,0.0202,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,,5943,5943,20.2156,straight
2.5361,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,,5943,5943,19.9636,straight
2.5562,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,,5943,5943,20.0801,straight
2.5763,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,,5943,5943,20.1037,straight
2.5965,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,,5943,5943,20.1392,straight
2.6166,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,,5943,5943,20.0952,straight
2.6366,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,,5943,5943,20.0999,straight
2.6566,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,,5943,5943,20.0251,straight
2.6768,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,,5943,5943,20.1331,straight
2.6994,0.0226,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,22.6026,straight
2.7193,0.0200,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,19.9655,straight
2.7396,0.0202,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.2046,straight
2.7597,0.0201,stopping,-47.0000,47.0000,-0.0002,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1336,straight
