# profile=agv-01 K_RATIO=11.3 KD=0.94 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2000 6084h=3000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow
0.0008,0.0200,run,-8.0000,8.0000,-0.0000,-0.0000,0.0000,0.0000,0.0137,1.6000,1.5643,1.6083,1.0000,0,0,1,1,,5943,5943,20.0000,straight,0
0.0198,0.0192,run,-8.0000,8.0000,-0.0000,-0.0000,0.0000,0.0000,0.0500,4.6121,4.5269,4.5972,1.0000,0,0,1,1,,5943,5943,19.2064,straight,0
0.0400,0.0201,run,-8.0000,8.0000,-0.0001,-0.0000,0.0000,0.0001,0.1237,9.3875,9.1624,9.3651,1.0000,0,0,1,1,,5943,5943,20.1225,straight,0
0.0605,0.0205,run,-8.0000,8.0000,-0.0003,-0.0000,0.0000,0.0003,0.2451,15.9305,15.4792,15.8916,1.0000,0,0,1,1,,5943,5943,20.4927,straight,0
0.0804,0.0199,run,-8.0000,8.0000,-0.0005,-0.0000,0.0000,0.0005,0.4138,23.8641,23.1004,23.8003,1.0000,0,0,1,1,,5943,5943,19.8912,straight,0
0.1005,0.0201,run,-8.0000,8.0000,-0.0007,-0.0000,0.0000,0.0007,0.6423,33.4760,32.3096,33.3580,1.0000,0,0,1,1,,5943,5943,20.0624,straight,0
0.1323,0.0318,run,-8.0000,8.0000,-0.0010,-0.0000,0.0000,0.0010,1.1719,52.7927,50.8854,52.3562,1.0000,29,33,1,1,,1847,1847,31.8495,straight,0
0.1524,0.0201,run,-8.0000,8.0000,-0.0015,-0.0000,0.0000,0.0015,1.5768,66.5903,63.8538,66.1732,1.0000,29,33,1,1,,1847,1847,20.0881,straight,0
0.1725,0.0202,run,-8.0000,8.0000,-0.0019,-0.0000,0.0000,0.0019,2.0581,82.0582,78.5373,81.4629,1.0000,29,33,1,1,,1847,1847,20.1543,straight,0
0.1926,0.0200,run,-8.0000,8.0000,-0.0023,-0.0000,0.0000,0.0023,2.6138,99.0408,94.6244,98.2295,1.0000,29,33,1,1,,1847,1847,20.0358,straight,0
0.2161,0.0232,run,-8.0000,8.0000,-0.0028,-0.0000,0.0000,0.0028,3.3667,120.9012,115.3588,119.7101,1.0000,29,33,1,1,,1847,1847,23.2415,straight,0
0.2328,0.0170,run,-8.0000,8.0000,-0.0034,-0.0000,0.0000,0.0034,3.9749,137.8824,131.2516,136.5633,1.0000,29,33,1,1,,1847,1847,16.9811,straight,0
0.2529,0.0201,run,-8.0000,8.0000,-0.0039,-0.0000,0.0000,0.0039,4.7651,157.9940,150.2001,156.2578,1.0000,29,33,1,1,,1847,1847,20.1117,straight,0
0.2730,0.0201,run,-8.0000,8.0000,-0.0045,-0.0000,0.0000,0.0045,5.6138,178.0789,168.9944,175.9358,1.0000,29,33,1,1,,1847,1847,20.0849,straight,0
0.2931,0.0201,run,-9.0000,9.0000,-0.0057,-0.0000,-0.0134,0.0191,7.4884,198.1823,175.9215,205.4664,1.0000,29,33,1,1,,1847,1847,20.1034,straight,0
0.3131,0.0200,run,-9.0000,9.0000,-0.0063,-0.0000,-0.0096,0.0159,9.1204,218.2147,196.7918,221.3969,1.0000,29,33,1,1,,1847,1847,20.0324,straight,0
0.3403,0.0271,run,-8.0000,8.0000,-0.0062,-0.0000,0.0060,0.0002,10.6919,245.3284,234.4704,234.8026,1.0000,186,219,1,1,,823,1847,27.1137,straight,0
0.3602,0.0200,run,-9.0000,9.0000,-0.0078,-0.0000,-0.0092,0.0170,12.4165,265.3452,239.7860,266.0714,1.0000,186,219,1,1,,823,1847,20.0168,straight,0
0.3803,0.0201,run,-9.0000,9.0000,-0.0085,-0.0000,-0.0065,0.0150,13.9322,285.4369,259.8968,283.1127,1.0000,186,219,1,1,,823,1847,20.0917,straight,0
