# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0009,0.0200,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0000,straight,0,11.3000
0.0231,0.0226,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,22.6141,straight,0,11.3000
0.0435,0.0202,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.2319,straight,0,11.3000
0.0636,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0767,straight,0,11.3000
0.0837,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1017,straight,0,11.3000
0.1038,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0563,straight,0,11.3000
0.1238,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0895,straight,0,11.3000
0.1439,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0868,straight,0,11.3000
0.1640,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0803,straight,0,11.3000
0.1842,0.0202,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.2191,straight,0,11.3000
0.2042,0.0200,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0011,straight,0,11.3000
0.2264,0.0222,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,22.2155,straight,0,11.3000
0.2465,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0626,straight,0,11.3000
0.2665,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0516,straight,0,11.3000
0.2866,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1088,straight,0,11.3000
0.3068,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0996,straight,0,11.3000
0.3269,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1174,straight,0,11.3000
0.3470,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0819,straight,0,11.3000
0.3671,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1140,straight,0,11.3000
0.3871,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0798,straight,0,11.3000
0.4072,0.0200,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0469,straight,0,11.3000
0.4332,0.0260,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,25.9708,straight,0,11.3000
0.4532,0.0200,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0471,straight,0,11.3000
0.4733,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1151,straight,0,11.3000
0.4934,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0947,straight,0,11.3000
0.5135,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0500,straight,0,11.3000
0.5336,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1388,straight,0,11.3000
0.5536,0.0200,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0437,straight,0,11.3000
0.5737,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1048,straight,0,11.3000
0.5939,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1188,straight,0,11.3000
0.6139,0.0200,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0456,straight,0,11.3000
0.6361,0.0222,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,22.2258,straight,0,11.3000
0.6562,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0607,straight,0,11.3000
0.6764,0.0202,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1503,straight,0,11.3000
0.6964,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0726,straight,0,11.3000
0.7165,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0834,straight,0,11.3000
0.7367,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1427,straight,0,11.3000
0.7566,0.0200,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,19.9999,straight,0,11.3000
0.7767,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0916,straight,0,11.3000
0.7968,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1073,straight,0,11.3000
0.8169,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0544,straight,0,11.3000
0.8390,0.0221,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,22.0908,straight,0,11.3000
0.8590,0.0200,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0378,straight,0,11.3000
0.8792,0.0202,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1908,straight,0,11.3000
0.8992,0.0200,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0153,straight,0,11.3000
0.9193,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0569,straight,0,11.3000
0.9394,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1345,straight,0,11.3000
0.9595,0.0200,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0482,straight,0,11.3000
0.9796,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1110,straight,0,11.3000
0.9998,0.0202,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.2272,straight,0,11.3000
1.0197,0.0199,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,19.9259,straight,0,11.3000
1.0422,0.0224,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,22.4197,straight,0,11.3000
