# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,e_mm,has_track,loop_ms
0.0058,0.0200,running,1,1.0000,1.0000,0.0000,0.0000,7682558,7919225,6.0000,5.9967,0,0,0.0000,0.0000,0.0001,0.0019,,0,20.0000
0.0221,0.0139,running,1,1.0000,1.0000,0.0000,0.0000,7682575,7919241,10.1557,10.1557,0,0,0.0000,0.0000,-0.0000,0.0032,,0,13.8524
0.0394,0.0201,running,1,1.0000,1.0000,0.0000,0.0000,7682642,7919290,16.1909,16.2509,0,0,0.0000,-0.0000,-0.0011,0.0051,,0,20.1172
0.0613,0.0201,running,1,1.0000,1.0000,0.0001,0.0001,7682768,7919405,22.2249,22.3215,0,0,0.0001,-0.0000,-0.0018,0.0070,,0,20.1133
0.0951,0.0358,running,1,1.0000,1.0000,0.0003,0.0003,7683200,7919789,32.9502,33.2069,20,20,0.0003,-0.0000,-0.0047,0.0104,,0,35.7512
0.1161,0.0202,running,1,1.0000,1.0000,0.0005,0.0005,7683531,7920116,39.0095,39.2795,20,20,0.0005,-0.0000,-0.0050,0.0123,,0,20.1975
0.1354,0.0200,running,1,1.0000,1.0000,0.0007,0.0007,7683969,7920519,45.0137,45.4004,20,20,0.0007,-0.0000,-0.0071,0.0141,,0,20.0141
0.1573,0.0220,running,1,1.0000,1.0000,0.0010,0.0010,7684537,7921062,51.6066,52.0766,20,20,0.0010,-0.0000,-0.0087,0.0162,,0,21.9762
0.1773,0.0201,running,1,1.0000,1.0000,0.0013,0.0013,7685112,7921635,57.6309,58.1076,20,20,0.0013,-0.0000,-0.0088,0.0181,,0,20.0812
0.1976,0.0201,running,1,1.0000,1.0000,0.0017,0.0016,7685761,7922312,63.6608,64.0441,20,20,0.0016,-0.0000,-0.0071,0.0200,,0,20.0994
0.2199,0.0201,running,1,1.0000,1.0000,0.0021,0.0020,7686492,7923063,69.6955,70.0122,20,20,0.0020,-0.0000,-0.0059,0.0219,,0,20.1159
0.2388,0.0200,running,1,1.0000,1.0000,0.0025,0.0024,7687295,7923881,75.6971,75.9638,20,20,0.0025,-0.0000,-0.0049,0.0238,,0,20.0054
0.2596,0.0221,running,1,1.0000,1.0000,0.0030,0.0029,7688264,7924845,82.3162,82.5995,20,20,0.0030,-0.0000,-0.0052,0.0259,,0,22.0636
0.2931,0.0327,running,1,1.0000,1.0000,0.0038,0.0038,7689850,7926460,92.1301,92.3167,80,81,0.0038,-0.0000,-0.0034,0.0289,,0,32.7129
0.3141,0.0202,running,1,1.0000,1.0000,0.0044,0.0044,7691000,7927549,98.1796,98.5696,80,81,0.0044,-0.0000,-0.0072,0.0308,,0,20.1651
