# profile=agv-01 U-turn 90 deg ccw at 200 r/min, ends on encoder, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,e_mm,has_track,loop_ms
0.0052,0.0200,spin,1,,,,,15546102,18674334,-16.0000,15.9867,0,0,,,0.0004,,-3,1,20.0000
0.0610,0.0551,spin,1,,,,,15545789,18674681,-60.0735,59.9468,0,0,,,0.0410,,-3,1,55.0919
0.0820,0.0214,spin,1,,,,,15545531,18674936,-77.1891,77.0724,0,0,,,0.0726,,-3,1,21.3945
0.1025,0.0205,spin,1,,,,,15545045,18675431,-93.5673,93.4207,0,0,,,0.1331,,-3,1,20.4728
0.1222,0.0199,spin,1,,,,,15544352,18676145,-109.5137,109.2970,0,0,,,0.2197,,-3,1,19.9329
0.1422,0.0200,spin,1,,,,,15543410,18677113,-125.5322,125.2289,0,0,,,0.3374,,-3,1,20.0232
0.1728,0.0280,spin,1,,,,,15541666,18678749,-147.9209,147.9775,-97,95,,,0.5456,,-3,1,27.9858
0.1949,0.0245,spin,1,,,,,15539764,18680489,-167.5272,168.1239,-97,95,,,0.7700,,-3,1,24.5079
0.2120,0.0174,spin,1,,,,,15538285,18681977,-181.4610,182.0276,-97,95,,,0.9527,,-3,1,17.4172
0.2330,0.0200,spin,1,,,,,15536326,18683976,-197.4964,197.9297,-97,95,,,1.1966,,-3,1,20.0443
0.2535,0.0203,spin,1,,,,,15534040,18686250,-200.0000,200.4733,-97,95,,,1.4775,,-2,1,20.2733
0.2738,0.0199,spin,1,,,,,15531627,18688776,-200.0000,200.0967,-97,95,,,1.7817,,-2,1,19.9175
0.2925,0.0201,spin,1,,,,,15529190,18691019,-200.0000,200.7433,-97,95,,,2.0700,,-2,1,20.1110
0.3128,0.0201,spin,1,,,,,15526731,18693425,-200.0000,200.9200,-97,95,,,2.3697,,-2,1,20.1377
0.3327,0.0200,spin,1,,,,,15524319,18695817,-200.0000,200.9867,-97,95,,,2.6656,,-1,1,20.0140
0.3542,0.0203,spin,1,,,,,15521921,18698343,-200.0000,200.5600,-97,95,,,2.9690,,-1,1,20.2779
0.3810,0.0274,spin,1,,,,,15518699,18701641,-200.0000,200.3067,-198,200,,,3.3706,,0,1,27.4320
0.4010,0.0201,spin,1,,,,,15516310,18704116,-200.0000,200.0200,-198,200,,,3.6702,,0,1,20.0875
0.4215,0.0203,spin,1,,,,,15513850,18706627,-200.0000,199.8500,-198,200,,,3.9764,,1,1,20.2682
0.4415,0.0200,spin,1,,,,,15511360,18709064,-200.0000,200.0267,-198,200,,,4.2800,,1,1,20.0286
0.4615,0.0202,spin,1,,,,,15508944,18711497,-200.0000,199.9700,-198,200,,,4.5787,,2,1,20.1671
0.4815,0.0200,spin,1,,,,,15506574,18713910,-200.0000,199.8267,-198,200,,,4.8733,,3,1,20.0123
0.5015,0.0200,spin,1,,,,,15504234,18716299,-200.0000,199.6633,-198,200,,,5.1646,,3,1,20.0489
0.5221,0.0203,spin,1,,,,,15501735,18718729,-200.0000,199.8933,-198,200,,,5.4683,,4,1,20.2922
0.5420,0.0200,spin,1,,,,,15499360,18721104,-200.0000,199.8933,-198,200,,,5.7609,,4,1,20.0383
0.5622,0.0210,spin,1,,,,,15496954,18723517,-200.0000,199.8700,-198,200,,,6.0577,,5,1,21.0407
