# profile=agv-01 U-turn 180 deg ccw at 200 r/min, ends on tape, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,e_mm,has_track,loop_ms
0.0066,0.0200,spin,1,,,,,17150784,20316629,-200.0000,200.0000,0,0,,,0.0001,,-6,1,20.0000
0.0257,0.0203,spin,1,,,,,17150735,20316657,-200.0000,200.0000,0,0,,,0.0049,,-6,1,20.2623
0.0459,0.0201,spin,1,,,,,17150443,20316874,-200.0000,200.0000,0,0,,,0.0362,,-6,1,20.1021
0.0702,0.0236,spin,1,,,,,17149804,20317399,-200.0000,200.0000,-35,32,,,0.1079,,-6,1,23.5865
0.0891,0.0200,spin,1,,,,,17149068,20318111,-200.0000,200.0000,-35,32,,,0.1971,,-6,1,19.9719
0.1143,0.0251,spin,1,,,,,17147924,20319366,-200.0000,200.0000,-35,32,,,0.3449,,-6,1,25.1316
0.1310,0.0156,spin,1,,,,,17147055,20320294,-200.0000,200.0000,-35,32,,,0.4556,,-6,1,15.6082
0.1802,0.0494,spin,1,,,,,17143002,20324398,-200.0000,200.0000,-35,32,,,0.9581,,-6,1,49.3637
0.1991,0.0200,spin,1,,,,,17140816,20326482,-200.0000,200.0000,-35,32,,,1.2211,,-6,1,19.9658
0.2192,0.0199,spin,1,,,,,17138381,20328845,-200.0000,200.0000,-35,32,,,1.5167,,-6,1,19.8655
0.2411,0.0202,spin,1,,,,,17135787,20331408,-200.0000,200.0000,-35,32,,,1.8344,,-5,1,20.2454
0.2603,0.0200,spin,1,,,,,17133326,20333743,-200.0000,200.0000,-35,32,,,2.1298,,-5,1,20.0291
0.2834,0.0234,spin,1,,,,,17130406,20336766,-200.0000,200.0000,-203,211,,,2.4959,,-4,1,23.3845
0.3064,0.0202,spin,1,,,,,17127920,20339321,-200.0000,200.0000,-203,211,,,2.8064,,-4,1,20.1957
0.3234,0.0199,spin,1,,,,,17125481,20341784,-200.0000,200.0000,-203,211,,,3.1084,,-3,1,19.9263
0.3434,0.0202,spin,1,,,,,17123014,20344226,-200.0000,200.0000,-203,211,,,3.4108,,-3,1,20.1920
0.3634,0.0202,spin,1,,,,,17120581,20346647,-200.0000,200.0000,-203,211,,,3.7098,,-2,1,20.2122
0.3834,0.0200,spin,1,,,,,17118172,20349057,-200.0000,200.0000,-203,211,,,4.0067,,-1,1,20.0333
0.4034,0.0201,spin,1,,,,,17115775,20351447,-200.0000,200.0000,-203,211,,,4.3016,,-1,1,20.1385
0.4236,0.0200,spin,1,,,,,17113355,20353885,-200.0000,200.0000,-203,211,,,4.6008,,0,1,19.9714
0.4442,0.0203,spin,1,,,,,17110974,20356327,-200.0000,200.0000,-203,211,,,4.8979,,0,1,20.2995
0.4636,0.0200,spin,1,,,,,17108594,20358698,-200.0000,200.0000,-203,211,,,5.1906,,1,1,20.0345
0.4849,0.0212,spin,1,,,,,17106051,20361239,-200.0000,200.0000,-199,199,,,5.5038,,1,1,21.1804
0.5069,0.0200,spin,1,,,,,17103648,20363564,-200.0000,200.0000,-199,199,,,5.7951,,2,1,20.0292
0.5251,0.0202,spin,1,,,,,17101228,20365922,-200.0000,200.0000,-199,199,,,6.0894,,2,1,20.2026
0.5451,0.0200,spin,1,,,,,17098867,20368312,-200.0000,200.0000,-199,199,,,6.3821,,3,1,20.0087
0.5651,0.0201,spin,1,,,,,17096501,20370740,-200.0000,200.0000,-199,199,,,6.6774,,3,1,20.0583
0.5853,0.0202,spin,1,,,,,17094057,20373213,-200.0000,200.0000,-199,199,,,6.9803,,4,1,20.1959
0.6074,0.0201,spin,1,,,,,17091619,20375669,-200.0000,200.0000,-199,199,,,7.2817,,4,1,20.0644
0.6254,0.0201,spin,1,,,,,17089180,20378057,-200.0000,200.0000,-199,199,,,7.5791,,5,1,20.0789
0.6456,0.0201,spin,1,,,,,17086718,20380494,-200.0000,200.0000,-199,199,,,7.8809,,5,1,20.0729
0.6656,0.0201,spin,1,,,,,17084311,20382901,-200.0000,200.0000,-199,199,,,8.1774,,6,1,20.1110
0.6879,0.0222,spin,1,,,,,17081637,20385584,-200.0000,200.0000,-200,202,,,8.5074,,6,1,22.1738
0.7104,0.0201,spin,1,,,,,17079273,20388021,-200.0000,200.0000,-200,202,,,8.8032,,7,1,20.0804
0.7284,0.0201,spin,1,,,,,17076861,20390443,-200.0000,200.0000,-200,202,,,9.1010,,7,1,20.1224
0.7481,0.0201,spin,1,,,,,17074469,20392781,-200.0000,200.0000,-200,202,,,9.3923,,8,1,20.0667
0.7684,0.0201,spin,1,,,,,17072040,20395172,-200.0000,200.0000,-200,202,,,9.6893,,8,1,20.1315
0.7884,0.0201,spin,1,,,,,17069642,20397573,-200.0000,200.0000,-200,202,,,9.9849,,9,1,20.1317
0.8107,0.0201,spin,1,,,,,17067246,20400156,-200.0000,200.0000,-200,202,,,10.2916,,9,1,20.0616
0.8289,0.0201,spin,1,,,,,17064823,20402442,-200.0000,200.0000,-200,202,,,10.5817,,10,1,20.0984
0.8486,0.0200,spin,1,,,,,17062402,20404829,-200.0000,200.0000,-200,202,,,10.8779,,10,1,20.0445
0.8717,0.0201,spin,1,,,,,17059993,20407265,-200.0000,200.0000,-200,202,,,11.1763,,11,1,20.1253
0.8935,0.0239,spin,1,,,,,17057023,20410220,-200.0000,200.0000,-200,201,,,11.5413,,11,1,23.9468
0.9156,0.0227,spin,1,,,,,17054354,20412884,-200.0000,200.0000,-200,201,,,11.8698,,12,1,22.6845
0.9334,0.0176,spin,1,,,,,17052220,20415004,-200.0000,200.0000,-200,201,,,12.1319,,12,1,17.5960
0.9534,0.0200,spin,1,,,,,17049826,20417391,-200.0000,200.0000,-200,201,,,12.4264,,13,1,19.9919
0.9737,0.0202,spin,1,,,,,17047429,20419827,-200.0000,200.0000,-200,201,,,12.7241,,13,1,20.1610
0.9934,0.0201,spin,1,,,,,17045030,20422206,-200.0000,200.0000,-200,201,,,13.0185,,14,1,20.1057
1.0133,0.0200,spin,1,,,,,17042634,20424606,-200.0000,200.0000,-200,201,,,13.3139,,14,1,20.0423
1.0334,0.0202,spin,1,,,,,17040227,20427007,-200.0000,200.0000,-200,201,,,13.6101,,15,1,20.1974
1.0534,0.0200,spin,1,,,,,17037824,20429405,-200.0000,200.0000,-200,201,,,13.9058,,15,1,20.0144
1.0736,0.0201,spin,1,,,,,17035393,20431842,-200.0000,200.0000,-200,201,,,14.2057,,16,1,20.0667
1.0954,0.0215,spin,1,,,,,17032803,20434444,-200.0000,200.0000,-200,199,,,14.5255,,17,1,21.4608
1.1149,0.0198,spin,1,,,,,17030436,20436785,-200.0000,200.0000,-200,199,,,14.8156,,17,1,19.8318
1.1351,0.0203,spin,1,,,,,17028012,20439225,-200.0000,200.0000,-200,199,,,15.1152,,18,1,20.2728
1.1884,0.0533,spin,1,,,,,17021617,20445603,-200.0000,200.0000,-200,199,,,15.9020,,19,1,53.3054
1.2089,0.0202,spin,1,,,,,17019144,20448080,-200.0000,200.0000,-200,199,,,16.2070,,20,1,20.1790
1.2289,0.0200,spin,1,,,,,17016746,20450506,-200.0000,200.0000,-200,199,,,16.5041,,20,1,20.0094
1.2489,0.0201,spin,1,,,,,17014347,20452885,-200.0000,200.0000,-200,199,,,16.7985,,21,1,20.1001
1.2694,0.0202,spin,1,,,,,17011922,20455351,-200.0000,200.0000,-200,199,,,17.0998,,21,1,20.2267
1.2889,0.0199,spin,1,,,,,17009521,20457710,-200.0000,200.0000,-200,199,,,17.3930,,22,1,19.9232
1.3166,0.0277,spin,1,,,,,17006196,20461046,-200.0000,200.0000,-200,201,,,17.8033,,23,1,27.6854
1.3327,0.0152,spin,1,,,,,17004422,20462959,-200.0000,200.0000,-200,201,,,18.0304,,23,1,15.1607
1.3527,0.0200,spin,1,,,,,17002012,20465300,-200.0000,200.0000,-200,201,,,18.3231,,24,1,20.0147
