# K_RATIO=11.3 KD=0.94 KI=0.0 TAU_D=0.05 AUTO_RPM=800.0 zeta=0.294 6083h=2000 6084h=2000 sw_ramp=1000.0 DRY_RUN=True
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms
0.0002,0.0200,run,-20.0000,20.0000,-0.0001,0.0000,0.0000,0.0001,0.1029,1.6000,1.4422,1.5521,1.0000,0,0,1,1,,6736,6736,20.0000
0.0196,0.0195,run,-21.0000,21.0000,-0.0001,0.0000,-0.0135,0.0136,0.3822,4.6748,0.0000,8.5852,1.0000,0,0,1,1,,6736,6736,19.4738
0.0397,0.0201,run,-20.0000,20.0000,-0.0003,0.0000,0.0038,-0.0034,0.9376,9.4589,11.1726,5.8699,1.0000,0,0,1,1,,6736,6736,20.0821
0.0598,0.0201,run,-21.0000,21.0000,-0.0007,0.0000,-0.0107,0.0114,1.8263,15.8570,5.1856,22.8758,1.0000,0,0,1,1,,6736,6736,20.0844
0.0799,0.0201,run,-20.0000,20.0000,-0.0011,0.0000,0.0058,-0.0046,3.1059,23.8770,24.3524,17.1899,1.0000,0,0,1,1,,6736,6736,20.1020
0.1000,0.0201,run,-20.0000,20.0000,-0.0017,0.0000,0.0041,-0.0024,4.8212,33.4986,30.5427,26.8121,1.0000,0,0,1,1,,6736,6736,20.0754
0.1201,0.0201,run,-20.0000,20.0000,-0.0024,0.0000,0.0029,-0.0006,7.0188,44.7493,38.1566,37.3045,1.0000,0,0,1,1,,6736,6736,20.1021
0.1401,0.0201,run,-21.0000,21.0000,-0.0033,0.0000,-0.0113,0.0147,9.7275,57.5975,36.5305,59.2094,1.0000,0,0,1,1,,6736,6736,20.0758
0.1602,0.0201,run,-20.0000,20.0000,-0.0041,0.0000,0.0053,-0.0012,12.9832,72.0682,60.0471,58.1229,1.0000,0,0,1,1,,6736,6736,20.0887
0.1803,0.0201,run,-20.0000,20.0000,-0.0051,0.0000,0.0038,0.0013,16.8110,88.1575,70.3313,72.3617,1.0000,0,0,1,1,,6736,6736,20.0937
0.2004,0.0201,run,-20.0000,20.0000,-0.0063,0.0000,0.0027,0.0035,21.2317,105.8586,81.8847,87.3692,1.0000,0,0,1,1,,6736,6736,20.0904
0.2205,0.0201,run,-20.0000,20.0000,-0.0075,0.0000,0.0019,0.0056,26.2658,125.1775,94.5956,103.2278,1.0000,0,0,1,1,,6736,6736,20.0935
0.2407,0.0202,run,-20.0000,20.0000,-0.0089,0.0000,0.0014,0.0075,31.8957,145.3399,107.6368,119.2516,1.0000,0,0,1,1,,6736,6736,20.1624
0.2607,0.0201,run,-20.0000,20.0000,-0.0103,0.0000,0.0010,0.0093,37.9957,165.4246,120.2085,134.6495,1.0000,0,0,1,1,,6736,6736,20.0848
0.2808,0.0201,run,-20.0000,20.0000,-0.0117,0.0000,0.0007,0.0110,44.5169,185.5095,132.4509,149.5342,1.0000,0,0,1,1,,6736,6736,20.0849
0.3009,0.0201,run,-20.0000,20.0000,-0.0132,0.0000,0.0005,0.0127,51.3992,205.5948,144.3952,163.9959,1.0000,0,0,1,1,,6736,6736,20.0853
0.3210,0.0201,run,-20.0000,20.0000,-0.0146,0.0000,0.0004,0.0142,58.5913,225.6817,156.0760,178.1049,1.0000,0,0,1,1,,6736,6736,20.0869
0.3411,0.0201,run,-20.0000,20.0000,-0.0160,0.0000,0.0003,0.0158,66.0478,245.7678,167.5232,191.9167,1.0000,0,0,1,1,,6736,6736,20.0860
0.3612,0.0201,run,-20.0000,20.0000,-0.0174,0.0000,0.0002,0.0173,73.7317,265.8551,178.7670,205.4797,1.0000,0,0,1,1,,6736,6736,20.0873
0.3813,0.0201,run,-20.0000,20.0000,-0.0189,0.0000,0.0001,0.0187,80.3973,285.9472,191.0501,220.0498,1.0000,0,0,1,1,,6736,6736,20.0921
