# K_RATIO=11.3 KD=0.94 KI=0.0 TAU_D=0.05 AUTO_RPM=800.0 zeta=0.294 6083h=2000 6084h=2000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms
0.0002,0.0200,run,-20.0000,20.0000,-0.0001,0.0000,0.0000,0.0001,0.1029,1.6000,1.4422,1.5521,1.0000,0,0,1,1,,5943,5943,20.0000
0.0195,0.0193,run,-20.0000,20.0000,-0.0001,0.0000,0.0000,0.0001,0.3787,4.6440,4.1775,4.3532,1.0000,0,0,1,1,,5943,5943,19.3429
0.0396,0.0201,run,-21.0000,21.0000,-0.0003,0.0000,-0.0134,0.0138,0.9326,9.4224,0.0000,16.9796,1.0000,0,0,1,1,,5943,5943,20.0974
0.0597,0.0201,run,-20.0000,20.0000,-0.0007,0.0000,0.0038,-0.0032,1.8209,15.8234,16.4581,11.5468,1.0000,0,0,1,1,,5943,5943,20.1149
0.0798,0.0201,run,-20.0000,20.0000,-0.0011,0.0000,0.0027,-0.0016,3.0988,23.8372,21.9899,19.4869,1.0000,0,0,1,1,,5943,5943,20.1032
0.0999,0.0201,run,-20.0000,20.0000,-0.0017,0.0000,0.0020,-0.0003,4.8162,33.4730,28.8599,28.4536,1.0000,0,0,1,1,,5943,5943,20.1128
0.1264,0.0265,run,-20.0000,20.0000,-0.0024,0.0000,0.0013,0.0011,7.9319,48.9782,40.1964,41.8962,1.0000,28,26,1,1,,1847,1847,26.5008
0.1466,0.0202,run,-20.0000,20.0000,-0.0035,0.0000,0.0009,0.0026,10.8344,62.4191,49.5990,53.5704,1.0000,28,26,1,1,,1847,1847,20.1866
0.1668,0.0202,run,-20.0000,20.0000,-0.0044,0.0000,0.0006,0.0038,14.2980,77.5003,60.2758,66.1287,1.0000,28,26,1,1,,1847,1847,20.1989
0.1870,0.0202,run,-20.0000,20.0000,-0.0055,0.0000,0.0005,0.0050,18.3457,94.2114,71.9668,79.7647,1.0000,28,26,1,1,,1847,1847,20.1968
0.2071,0.0201,run,-20.0000,20.0000,-0.0067,0.0000,0.0003,0.0064,22.9759,112.4654,84.5703,94.4086,1.0000,28,26,1,1,,1847,1847,20.1069
0.2272,0.0201,run,-20.0000,20.0000,-0.0080,0.0000,0.0002,0.0078,28.2183,132.3124,98.0994,110.0887,1.0000,28,26,1,1,,1847,1847,20.0843
0.2473,0.0201,run,-20.0000,20.0000,-0.0094,0.0000,0.0002,0.0092,34.0035,152.3922,111.2521,125.5254,1.0000,28,26,1,1,,1847,1847,20.0798
0.2674,0.0201,run,-20.0000,20.0000,-0.0108,0.0000,0.0001,0.0107,40.2577,172.4814,123.9471,140.5002,1.0000,28,26,1,1,,1847,1847,20.0892
0.2875,0.0201,run,-20.0000,20.0000,-0.0122,0.0000,0.0001,0.0122,46.9197,192.5943,136.2682,155.0809,1.0000,28,26,1,1,,1847,1847,20.1129
0.3076,0.0201,run,-20.0000,20.0000,-0.0137,0.0000,0.0001,0.0136,53.9180,212.6889,148.2411,169.3007,1.0000,28,26,1,1,,1847,1847,20.0946
0.3337,0.0261,run,-20.0000,20.0000,-0.0151,0.0000,0.0000,0.0151,63.4860,238.7991,163.6636,186.9626,1.0000,145,166,1,1,,1847,1847,26.1102
0.3539,0.0202,run,-20.0000,20.0000,-0.0170,0.0000,0.0000,0.0169,71.1231,258.9778,174.7623,200.9470,1.0000,145,166,1,1,,1847,1847,20.1787
0.3740,0.0202,run,-20.0000,20.0000,-0.0184,0.0000,0.0000,0.0184,78.1567,279.1334,186.7699,215.1836,1.0000,145,166,1,1,,1847,1847,20.1556
0.3942,0.0202,run,-20.0000,20.0000,-0.0198,0.0000,0.0000,0.0198,84.1811,299.3033,199.8039,230.4405,1.0000,145,166,1,1,,1847,1847,20.1699
0.4144,0.0202,run,-20.0000,20.0000,-0.0213,0.0000,0.0000,0.0212,89.3390,319.4793,213.7111,246.5694,1.0000,145,166,1,1,,1847,1847,20.1759
0.4346,0.0202,run,-20.0000,20.0000,-0.0227,0.0000,0.0000,0.0227,93.7660,339.7202,228.4147,263.4937,1.0000,145,166,1,1,,1847,1847,20.2409
0.4548,0.0202,run,-20.0000,20.0000,-0.0241,0.0000,0.0000,0.0241,97.5428,359.8942,243.6987,281.0041,1.0000,145,166,1,1,,1847,1847,20.1740
0.4750,0.0202,run,-20.0000,20.0000,-0.0256,0.0000,0.0000,0.0255,100.7734,380.0510,259.5158,299.0394,1.0000,145,166,1,1,,1847,1847,20.1568
0.4951,0.0202,run,-20.0000,20.0000,-0.0270,0.0000,0.0000,0.0270,103.5422,400.2341,275.8223,317.5615,1.0000,145,166,1,1,,1847,1847,20.1831
0.5152,0.0201,run,-20.0000,20.0000,-0.0284,0.0000,0.0000,0.0284,105.9026,420.3222,292.4410,336.3982,1.0000,145,166,1,1,,1847,1847,20.0881
0.5415,0.0262,run,-20.0000,20.0000,-0.0298,0.0000,0.0000,0.0298,108.4330,446.5689,315.0536,361.2182,1.0000,283,334,1,1,,823,1847,26.2466
0.5616,0.0201,run,-20.0000,20.0000,-0.0317,0.0000,0.0000,0.0317,110.0924,466.6647,332.0483,381.0963,1.0000,283,334,1,1,,823,1847,20.0958
0.5818,0.0202,run,-20.0000,20.0000,-0.0331,0.0000,0.0000,0.0331,111.5190,486.8481,349.7013,400.9569,1.0000,283,334,1,1,,823,1847,20.1834
0.6020,0.0202,run,-20.0000,20.0000,-0.0346,0.0000,0.0000,0.0346,112.7410,507.0460,367.5687,421.0414,1.0000,283,334,1,1,,823,1847,20.1979
0.6222,0.0202,run,-20.0000,20.0000,-0.0360,0.0000,0.0000,0.0360,113.7875,527.2592,385.6260,441.3174,1.0000,283,334,1,1,,823,1847,20.2132
0.6423,0.0201,run,-20.0000,20.0000,-0.0374,0.0000,0.0000,0.0374,114.6796,547.3775,403.7421,461.6538,1.0000,283,334,1,1,,823,1847,20.1183
0.6624,0.0201,run,-19.0000,19.0000,-0.0369,-0.0000,0.0134,0.0235,117.6534,567.4942,431.6527,468.0289,1.0000,283,334,1,1,,823,1847,20.1167
0.6825,0.0201,run,-19.0000,19.0000,-0.0383,-0.0000,0.0096,0.0287,119.3202,587.6378,446.1020,490.5332,1.0000,283,334,1,1,,823,1847,20.1436
0.7026,0.0201,run,-19.0000,19.0000,-0.0396,-0.0000,0.0068,0.0328,120.1173,607.7273,462.2248,512.9951,1.0000,283,334,1,1,,823,1847,20.0895
0.7227,0.0201,run,-19.0000,19.0000,-0.0410,-0.0000,0.0049,0.0361,120.3529,627.8273,479.5291,535.4197,1.0000,283,334,1,1,,823,1847,20.1000
