# profile=agv-01 K_RATIO=11.3 KD=0.94 KI=0.0 TAU_D=0.05 AUTO_RPM=2400.0 zeta=0.294 6083h=2000 6084h=3000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms
0.0002,0.0200,run,-24.0000,24.0000,-0.0001,0.0000,0.0000,0.0001,0.0411,1.6000,1.4930,1.6248,1.0000,0,0,1,1,,5943,5943,20.0000
0.0192,0.0190,run,-24.0000,24.0000,-0.0001,0.0000,0.0000,0.0001,0.1482,4.5729,4.3193,4.5302,1.0000,0,0,1,1,,5943,5943,19.0385
0.0394,0.0201,run,-24.0000,24.0000,-0.0004,0.0000,0.0000,0.0004,0.3678,9.3263,8.6572,9.2599,1.0000,0,0,1,1,,5943,5943,20.0958
0.0595,0.0201,run,-24.0000,24.0000,-0.0008,0.0000,0.0000,0.0008,0.7202,15.6940,14.3592,15.5884,1.0000,0,0,1,1,,5943,5943,20.0930
0.0796,0.0202,run,-24.0000,24.0000,-0.0013,0.0000,0.0000,0.0013,1.2302,23.7056,21.4412,23.5097,1.0000,0,0,1,1,,5943,5943,20.1539
0.0997,0.0201,run,-24.0000,24.0000,-0.0020,0.0000,0.0000,0.0020,1.9136,33.3070,29.8311,32.9556,1.0000,0,0,1,1,,5943,5943,20.0911
0.1198,0.0201,run,-24.0000,24.0000,-0.0028,0.0000,0.0000,0.0028,2.7883,44.5207,39.5374,43.9273,1.0000,0,0,1,1,,5943,5943,20.0876
0.1399,0.0201,run,-24.0000,24.0000,-0.0038,0.0000,0.0000,0.0038,3.8692,57.3546,50.5513,56.4193,1.0000,0,0,1,1,,5943,5943,20.0962
0.1600,0.0201,run,-24.0000,24.0000,-0.0049,0.0000,0.0000,0.0049,5.1679,71.8005,62.8529,70.4124,1.0000,0,0,1,1,,5943,5943,20.0920
0.1800,0.0201,run,-24.0000,24.0000,-0.0061,0.0000,0.0000,0.0061,6.6939,87.8511,76.4254,85.8890,1.0000,0,0,1,1,,5943,5943,20.0804
0.2002,0.0201,run,-24.0000,24.0000,-0.0075,0.0000,0.0000,0.0075,8.4623,105.5662,91.3144,102.8935,1.0000,0,0,1,1,,5943,5943,20.1342
0.2205,0.0203,run,-24.0000,24.0000,-0.0090,0.0000,0.0000,0.0090,10.5006,125.1243,107.6667,121.5806,1.0000,0,0,1,1,,5943,5943,20.3468
0.2461,0.0255,run,-24.0000,24.0000,-0.0107,0.0000,0.0000,0.0107,13.4177,150.6700,129.0064,145.4982,1.0000,97,118,1,1,,823,1847,25.5458
0.2662,0.0201,run,-24.0000,24.0000,-0.0128,0.0000,0.0000,0.0128,15.9006,170.7539,144.9239,164.7827,1.0000,97,118,1,1,,823,1847,20.0839
0.2862,0.0201,run,-24.0000,24.0000,-0.0145,0.0000,0.0000,0.0145,18.5470,190.8460,161.0461,183.5520,1.0000,97,118,1,1,,823,1847,20.0921
0.3063,0.0201,run,-24.0000,24.0000,-0.0163,0.0000,0.0000,0.0163,21.3319,210.9342,177.0252,202.1794,1.0000,97,118,1,1,,823,1847,20.0882
0.3264,0.0201,run,-23.0000,23.0000,-0.0172,0.0000,0.0134,0.0038,24.8739,231.0233,203.2014,209.0973,1.0000,97,118,1,1,,823,1847,20.0891
0.3465,0.0201,run,-23.0000,23.0000,-0.0189,0.0000,0.0096,0.0093,28.2056,251.1107,215.7152,230.0949,1.0000,97,118,1,1,,823,1847,20.0874
0.3666,0.0201,run,-23.0000,23.0000,-0.0205,0.0000,0.0068,0.0137,31.4008,271.2115,229.2301,250.3912,1.0000,97,118,1,1,,823,1847,20.1008
0.3866,0.0200,run,-23.0000,23.0000,-0.0221,0.0000,0.0049,0.0173,34.5013,291.2475,243.3861,270.1064,1.0000,97,118,1,1,,823,1847,20.0360
0.4067,0.0201,run,-23.0000,23.0000,-0.0238,0.0000,0.0035,0.0203,37.5652,311.3395,258.0686,289.4801,1.0000,97,118,1,1,,823,1847,20.0920
0.4268,0.0201,run,-23.0000,23.0000,-0.0254,0.0000,0.0025,0.0229,40.6115,331.4264,273.0699,308.5601,1.0000,97,118,1,1,,823,1847,20.0869
0.4532,0.0263,run,-23.0000,23.0000,-0.0271,0.0000,0.0016,0.0254,44.6169,357.7561,293.4640,332.8145,1.0000,267,304,1,1,,823,1847,26.3297
0.4733,0.0201,run,-23.0000,23.0000,-0.0292,0.0000,0.0012,0.0281,47.6913,377.8493,308.4598,351.8563,1.0000,267,304,1,1,,823,1847,20.0933
0.4933,0.0201,run,-23.0000,23.0000,-0.0309,0.0000,0.0008,0.0300,50.7907,397.9421,323.9274,370.3756,1.0000,267,304,1,1,,823,1847,20.0928
0.5134,0.0201,run,-23.0000,23.0000,-0.0325,0.0000,0.0006,0.0319,53.9178,418.0269,339.4329,388.7854,1.0000,267,304,1,1,,823,1847,20.0848
0.5335,0.0201,run,-22.0000,22.0000,-0.0326,0.0000,0.0138,0.0188,58.2856,438.1157,365.2762,394.3839,1.0000,267,304,1,1,,823,1847,20.0888
0.5536,0.0201,run,-22.0000,22.0000,-0.0342,0.0000,0.0099,0.0243,62.0632,458.2093,377.3116,414.9806,1.0000,267,304,1,1,,823,1847,20.0936
0.5737,0.0201,run,-22.0000,22.0000,-0.0358,0.0000,0.0070,0.0287,65.4433,478.2978,390.6187,435.0903,1.0000,267,304,1,1,,823,1847,20.0885
0.5939,0.0202,run,-22.0000,22.0000,-0.0374,0.0000,0.0050,0.0323,68.5788,498.4667,404.8737,454.9023,1.0000,267,304,1,1,,823,1847,20.1690
0.6140,0.0201,run,-22.0000,22.0000,-0.0389,0.0000,0.0036,0.0354,71.5446,518.5541,419.6649,474.3541,1.0000,267,304,1,1,,823,1847,20.0874
0.6341,0.0201,run,-21.0000,21.0000,-0.0387,0.0000,0.0160,0.0227,75.9110,538.6467,445.1814,480.2901,1.0000,267,304,1,1,,823,1847,20.0926
0.6597,0.0257,run,-21.0000,21.0000,-0.0402,0.0000,0.0105,0.0296,80.2933,564.3490,461.1505,506.9609,1.0000,431,479,1,1,,823,1847,25.7023
0.6798,0.0201,run,-21.0000,21.0000,-0.0421,0.0000,0.0075,0.0346,83.2360,584.4343,474.4739,527.9228,1.0000,431,479,1,1,,823,1847,20.0853
0.7000,0.0201,run,-21.0000,21.0000,-0.0436,0.0000,0.0054,0.0382,85.8832,604.5390,489.1046,548.2069,1.0000,431,479,1,1,,823,1847,20.1047
0.7200,0.0201,run,-21.0000,21.0000,-0.0451,0.0000,0.0038,0.0412,88.3573,624.6145,504.3579,568.1564,1.0000,431,479,1,1,,823,1847,20.0755
0.7401,0.0201,run,-20.0000,20.0000,-0.0443,0.0000,0.0161,0.0282,92.5314,644.7046,530.3563,573.9900,1.0000,431,479,1,1,,823,1847,20.0901
0.7602,0.0201,run,-20.0000,20.0000,-0.0458,0.0000,0.0115,0.0343,95.7513,664.7889,542.5394,595.5359,1.0000,431,479,1,1,,823,1847,20.0844
0.7804,0.0201,run,-20.0000,20.0000,-0.0472,0.0000,0.0082,0.0390,98.3651,684.9085,556.3863,616.7006,1.0000,431,479,1,1,,823,1847,20.1196
0.8004,0.0201,run,-20.0000,20.0000,-0.0486,0.0000,0.0059,0.0428,100.6050,704.9934,571.3061,637.4708,1.0000,431,479,1,1,,823,1847,20.0849
0.8206,0.0202,run,-20.0000,20.0000,-0.0501,0.0000,0.0042,0.0459,102.6497,725.1658,587.0281,658.0041,1.0000,431,479,1,1,,823,1847,20.1723
0.8406,0.0201,run,-19.0000,19.0000,-0.0489,-0.0000,0.0164,0.0325,106.6514,745.2478,613.4413,663.7515,1.0000,431,479,1,1,,823,1847,20.0820
0.8660,0.0254,run,-19.0000,19.0000,-0.0503,-0.0000,0.0109,0.0394,110.1195,770.6114,630.0222,690.9616,1.0000,596,666,1,1,,823,1847,25.3636
0.8861,0.0201,run,-19.0000,19.0000,-0.0520,-0.0000,0.0078,0.0442,112.2401,790.6954,644.2519,712.6588,1.0000,596,666,1,1,,823,1847,20.0840
0.9062,0.0201,run,-18.0000,18.0000,-0.0505,-0.0000,0.0189,0.0316,116.2346,810.7833,670.1225,718.9748,1.0000,596,666,1,1,,823,1847,20.0878
0.9263,0.0201,run,-18.0000,18.0000,-0.0518,-0.0000,0.0135,0.0383,118.8643,830.8791,682.3944,741.6352,1.0000,596,666,1,1,,823,1847,20.0958
0.9464,0.0201,run,-18.0000,18.0000,-0.0531,-0.0000,0.0096,0.0435,120.6395,850.9642,696.7152,763.9342,1.0000,596,666,1,1,,823,1847,20.0852
0.9665,0.0201,run,-17.0000,17.0000,-0.0514,-0.0000,0.0203,0.0311,124.3218,871.0606,722.7078,770.7698,1.0000,596,666,1,1,,823,1847,20.0964
0.9866,0.0201,run,-17.0000,17.0000,-0.0526,-0.0000,0.0145,0.0381,126.4764,891.1483,735.2052,794.1385,1.0000,596,666,1,1,,823,1847,20.0877
1.0066,0.0201,run,-16.0000,16.0000,-0.0506,-0.0000,0.0237,0.0269,130.2074,911.2398,760.2395,801.8254,1.0000,596,666,1,1,,823,1847,20.0915
1.0267,0.0201,run,-16.0000,16.0000,-0.0518,-0.0000,0.0169,0.0348,132.0727,931.3317,772.3207,826.1973,1.0000,596,666,1,1,,823,1847,20.0919
1.0468,0.0201,run,-15.0000,15.0000,-0.0496,-0.0000,0.0255,0.0241,135.4189,951.4158,797.3545,834.6391,1.0000,596,666,1,1,,823,1847,20.0840
1.0740,0.0272,run,-15.0000,15.0000,-0.0507,-0.0000,0.0165,0.0341,136.6952,978.5690,815.4648,868.2828,1.0000,773,839,1,1,,823,1847,27.1533
1.0941,0.0201,run,-14.0000,14.0000,-0.0486,-0.0000,0.0252,0.0234,139.3278,998.6678,841.2080,877.4719,1.0000,773,839,1,1,,823,1847,20.0987
1.1142,0.0201,run,-14.0000,14.0000,-0.0496,-0.0000,0.0180,0.0317,139.9250,1018.7515,854.3376,903.3153,1.0000,773,839,1,1,,823,1847,20.0837
1.1343,0.0201,run,-13.0000,13.0000,-0.0470,-0.0000,0.0262,0.0208,142.1793,1038.8080,880.5635,912.6938,1.0000,773,839,1,1,,823,1847,20.0565
1.1543,0.0201,run,-13.0000,13.0000,-0.0479,-0.0000,0.0187,0.0292,142.2675,1058.8832,894.0188,939.2127,1.0000,773,839,1,1,,823,1847,20.0752
1.1744,0.0201,run,-13.0000,13.0000,-0.0489,-0.0000,0.0134,0.0355,141.0761,1078.9607,910.4210,965.3482,1.0000,773,839,1,1,,823,1847,20.0774
1.1945,0.0201,run,-12.0000,12.0000,-0.0460,-0.0000,0.0229,0.0230,142.2424,1099.0610,939.0096,974.6275,1.0000,773,839,1,1,,823,1847,20.1003
1.2146,0.0201,run,-12.0000,12.0000,-0.0468,-0.0000,0.0164,0.0305,141.5278,1119.1433,954.0597,1001.1712,1.0000,773,839,1,1,,823,1847,20.0823
1.2346,0.0201,run,-11.0000,11.0000,-0.0437,-0.0000,0.0251,0.0186,142.8850,1139.2401,981.9538,1010.7564,1.0000,773,839,1,1,,823,1847,20.0968
1.2547,0.0201,run,-11.0000,11.0000,-0.0445,-0.0000,0.0179,0.0266,142.0447,1159.3293,996.7151,1037.8540,1.0000,773,839,1,1,,823,1847,20.0892
1.2800,0.0253,run,-10.0000,10.0000,-0.0412,-0.0000,0.0244,0.0168,142.8092,1184.6022,1028.8123,1054.7738,1.0000,986,1030,1,1,,823,823,25.2730
