# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2000 6084h=3000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0007,0.0200,run,-6.0000,6.0000,-0.0000,-0.0000,0.0000,0.0000,0.0103,1.6000,1.5732,1.6062,1.0000,0,0,1,1,,5943,5943,20.0000,straight,0,11.3000
0.0198,0.0192,run,-6.0000,6.0000,-0.0000,-0.0000,0.0000,0.0000,0.0374,4.6029,4.5392,4.5919,1.0000,0,0,1,1,,5943,5943,19.1674,straight,0,11.3000
0.0522,0.0323,run,-6.0000,6.0000,-0.0001,-0.0000,0.0000,0.0001,0.1615,13.8358,13.5985,13.7502,1.0000,3,4,1,1,,5943,5943,32.2984,straight,0,11.3000
0.0723,0.0201,run,-6.0000,6.0000,-0.0003,-0.0000,0.0000,0.0003,0.2755,21.2129,20.7095,21.1654,1.0000,3,4,1,1,,5943,5943,20.1339,straight,0,11.3000
0.0923,0.0200,run,-6.0000,6.0000,-0.0005,-0.0000,0.0000,0.0005,0.4299,30.1440,29.3646,30.0636,1.0000,3,4,1,1,,5943,5943,20.0060,straight,0,11.3000
0.1125,0.0202,run,-6.0000,6.0000,-0.0006,-0.0000,0.0000,0.0006,0.6320,40.7728,39.6441,40.6374,1.0000,3,4,1,1,,5943,5943,20.1653,straight,0,11.3000
0.1326,0.0201,run,-6.0000,6.0000,-0.0009,-0.0000,0.0000,0.0009,0.8835,52.9860,51.4308,52.7743,1.0000,3,4,1,1,,5943,5943,20.1041,straight,0,11.3000
0.1533,0.0208,run,-6.0000,6.0000,-0.0011,-0.0000,0.0000,0.0011,1.2005,67.3416,65.2682,67.0141,1.0000,3,4,1,1,,5943,5943,20.7858,straight,0,11.3000
0.1733,0.0199,run,-6.0000,6.0000,-0.0014,-0.0000,0.0000,0.0014,1.5586,82.6582,79.9901,82.2091,1.0000,3,4,1,1,,5943,5943,19.8868,straight,0,11.3000
0.1933,0.0200,run,-6.0000,6.0000,-0.0018,-0.0000,0.0000,0.0018,1.9776,99.7019,96.3624,99.0861,1.0000,3,4,1,1,,5943,5943,20.0429,straight,0,11.3000
0.2134,0.0201,run,-6.0000,6.0000,-0.0021,-0.0000,0.0000,0.0021,2.4587,118.4222,114.3209,117.6061,1.0000,3,4,1,1,,5943,5943,20.1118,straight,0,11.3000
0.2335,0.0201,run,-6.0000,6.0000,-0.0025,-0.0000,0.0000,0.0025,2.9992,138.4866,133.5363,137.4384,1.0000,3,4,1,1,,5943,5943,20.0644,straight,0,11.3000
0.2645,0.0311,run,-6.0000,6.0000,-0.0029,-0.0000,0.0000,0.0029,3.9522,169.5747,163.3409,167.9041,1.0000,118,134,1,1,,823,1847,31.0881,straight,0,11.3000
0.2845,0.0200,run,-6.0000,6.0000,-0.0036,-0.0000,0.0000,0.0036,4.6074,189.6057,182.2045,187.7922,1.0000,118,134,1,1,,823,1847,20.0310,straight,0,11.3000
0.3047,0.0201,run,-6.0000,6.0000,-0.0040,-0.0000,0.0000,0.0040,5.3014,209.7373,201.3121,207.5597,1.0000,118,134,1,1,,823,1847,20.1315,straight,0,11.3000
0.3246,0.0200,run,-6.0000,6.0000,-0.0045,-0.0000,0.0000,0.0045,6.0211,229.7420,220.2654,227.1764,1.0000,118,134,1,1,,823,1847,20.0047,straight,0,11.3000
0.3452,0.0204,run,-6.0000,6.0000,-0.0049,-0.0000,0.0000,0.0049,6.7831,250.1770,239.6088,247.1790,1.0000,118,134,1,1,,823,1847,20.4350,straight,0,11.3000
0.3650,0.0199,run,-6.0000,6.0000,-0.0053,-0.0000,0.0000,0.0053,7.5463,270.0575,258.3895,266.6330,1.0000,118,134,1,1,,823,1847,19.8805,straight,0,11.3000
0.3851,0.0201,run,-6.0000,6.0000,-0.0058,-0.0000,0.0000,0.0058,8.3352,290.1155,277.3309,286.2295,1.0000,118,134,1,1,,823,1847,20.0579,straight,0,11.3000
0.4052,0.0201,run,-6.0000,6.0000,-0.0062,-0.0000,0.0000,0.0062,9.1421,310.2142,296.2923,305.8519,1.0000,118,134,1,1,,823,1847,20.0988,straight,0,11.3000
0.4251,0.0200,run,-6.0000,6.0000,-0.0066,-0.0000,0.0000,0.0066,9.9598,330.2361,315.1654,325.3872,1.0000,118,134,1,1,,823,1847,20.0218,straight,0,11.3000
