# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,gyro_z_dps,loop_ms
0.0056,0.0200,running,1,1.0000,1.0000,0.0000,-0.0000,13063836,17546394,16.0000,16.0067,0,0,-0.0000,0.0000,-0.0001,0.0050,0.0000,20.0000
0.0224,0.0168,running,1,1.0000,1.0000,0.0000,0.0000,13063861,17546416,29.4642,29.4808,0,0,0.0000,-0.0000,-0.0003,0.0093,0.0000,16.8302
0.0434,0.0200,running,1,1.0000,1.0000,0.0001,0.0001,13064056,17546623,45.4401,45.4167,0,0,0.0001,0.0000,0.0004,0.0143,0.0000,19.9699
0.0629,0.0204,running,1,1.0000,1.0000,0.0003,0.0003,13064381,17546957,61.7757,61.7224,0,0,0.0003,0.0000,0.0010,0.0194,0.0000,20.4195
0.0834,0.0206,running,1,1.0000,1.0000,0.0006,0.0006,13064932,17547503,78.2650,78.2283,0,0,0.0006,0.0000,0.0007,0.0246,0.0000,20.6116
0.1164,0.0322,running,1,1.0000,1.0000,0.0013,0.0013,13066287,17548866,104.0343,103.9710,61,63,0.0013,0.0000,0.0012,0.0327,0.0000,32.2116
0.1359,0.0203,running,1,1.0000,1.0000,0.0018,0.0018,13067320,17549846,120.2560,120.3693,61,63,0.0018,0.0000,-0.0021,0.0378,0.0000,20.2771
0.1559,0.0201,running,1,1.0000,1.0000,0.0024,0.0024,13068499,17551014,136.3349,136.4849,61,63,0.0024,-0.0000,-0.0028,0.0428,0.0000,20.0987
0.1759,0.0200,running,1,1.0000,1.0000,0.0031,0.0031,13069826,17552352,152.3414,152.4547,61,63,0.0031,-0.0000,-0.0021,0.0479,0.0000,20.0081
0.1962,0.0201,running,1,1.0000,1.0000,0.0039,0.0039,13071373,17553910,168.4191,168.4957,61,63,0.0039,-0.0000,-0.0014,0.0529,0.0000,20.0971
0.2164,0.0204,running,1,1.0000,1.0000,0.0049,0.0049,13073152,17555690,184.7174,184.7908,61,63,0.0049,-0.0000,-0.0014,0.0580,0.0000,20.3729
0.2364,0.0200,running,1,1.0000,1.0000,0.0059,0.0059,13075118,17557638,200.7368,200.8701,61,63,0.0059,-0.0000,-0.0025,0.0631,0.0000,20.0242
0.2567,0.0201,running,1,1.0000,1.0000,0.0071,0.0070,13077307,17559789,216.8551,217.1151,61,63,0.0070,-0.0000,-0.0048,0.0681,0.0000,20.1479
0.2766,0.0200,running,1,1.0000,1.0000,0.0083,0.0082,13079625,17562106,232.8923,233.1556,61,63,0.0082,-0.0000,-0.0049,0.0732,0.0000,20.0465
0.2988,0.0221,running,1,1.0000,1.0000,0.0097,0.0097,13082433,17564919,250.5644,250.8111,61,63,0.0097,-0.0000,-0.0046,0.0787,-0.1221,22.0901
0.3292,0.0305,running,1,1.0000,1.0000,0.0120,0.0119,13086662,17569134,274.9595,275.2528,224,229,0.0119,-0.0000,-0.0054,0.0864,-0.1221,30.4939
0.3491,0.0200,running,1,1.0000,1.0000,0.0135,0.0135,13089688,17572159,290.9615,291.2581,224,229,0.0135,-0.0000,-0.0055,0.0914,-0.1221,20.0024
0.3694,0.0201,running,1,1.0000,1.0000,0.0153,0.0152,13092969,17575414,307.0507,307.4340,224,229,0.0152,-0.0000,-0.0071,0.0965,-0.1221,20.1115
0.3894,0.0201,running,1,1.0000,1.0000,0.0170,0.0170,13096376,17578818,323.1231,323.5164,224,229,0.0170,-0.0000,-0.0073,0.1015,-0.1221,20.0905
0.4097,0.0203,running,1,1.0000,1.0000,0.0190,0.0189,13100029,17582462,339.3617,339.7850,224,229,0.0189,-0.0000,-0.0078,0.1066,-0.1221,20.2983
0.4296,0.0199,running,1,1.0000,1.0000,0.0209,0.0209,13103830,17586268,355.2955,355.7022,224,229,0.0209,-0.0000,-0.0075,0.1116,-0.1221,19.9172
0.4496,0.0201,running,1,1.0000,1.0000,0.0230,0.0230,13107823,17590246,371.3445,371.8012,224,229,0.0230,-0.0000,-0.0085,0.1167,-0.1221,20.0613
0.4699,0.0201,running,1,1.0000,1.0000,0.0253,0.0252,13112062,17594483,387.4510,387.9143,224,229,0.0252,-0.0000,-0.0086,0.1217,-0.1221,20.1330
0.4913,0.0201,running,1,1.0000,1.0000,0.0275,0.0276,13116436,17599183,403.5413,402.9179,224,229,0.0276,-0.0000,0.0115,0.1268,-0.1221,20.1129
0.5101,0.0201,running,1,1.0000,1.0000,0.0300,0.0299,13121071,17603467,419.5843,420.1310,224,229,0.0299,-0.0000,-0.0101,0.1318,-0.1221,20.0538
0.5399,0.0300,running,1,1.0000,1.0000,0.0337,0.0336,13128198,17610615,443.5951,444.0717,393,397,0.0337,-0.0000,-0.0088,0.1394,-0.1221,30.0134
0.5601,0.0201,running,1,1.0000,1.0000,0.0364,0.0363,13133315,17615719,459.6556,460.1756,393,397,0.0363,-0.0000,-0.0096,0.1444,-0.1221,20.0757
0.5801,0.0201,running,1,1.0000,1.0000,0.0391,0.0390,13138518,17620964,475.7133,476.0933,393,397,0.0391,-0.0000,-0.0070,0.1494,-0.1221,20.0722
